txid	ODPE_1	RVG_11	RVG_4	Avg1DPE	Median1DPE
crovir-transcript-7693	3.571608027562838	1.6071104664116247	1.6168049301886713	2.2651744747210447	3.571608027562838
crovir-transcript-7692	0	0	0	0	0
crovir-transcript-7694	0	0	0	0	0
crovir-transcript-7695	0	0	0	0	0
crovir-transcript-7712	0.12606951786233347	0	0	0.04202317262077782	0.12606951786233347
crovir-transcript-7711	0	0.37711275484053075	0.2069386836039693	0.19468381281483335	0
crovir-transcript-7710	33.50316595272432	49.93973662570709	54.2386136324459	45.893838736959104	33.50316595272432
crovir-transcript-7713	0	0.30335645905950426	0	0.10111881968650142	0
crovir-transcript-7705	0	0	0	0	0
crovir-transcript-7706	0	0	0	0	0
crovir-transcript-7704	57.78190878801439	54.166725968752026	151.73247337206487	87.89370270961044	57.78190878801439
crovir-transcript-7696	3.102315344871442	2.1714678627561725	9.532654522854475	4.93547924349403	3.102315344871442
crovir-transcript-7697	36.65942102183963	14.000876486963868	38.27485536677733	29.64505095852694	36.65942102183963
crovir-transcript-7728	49.4431508088886	70.7181163339566	72.82479934033357	64.32868882772625	49.4431508088886
crovir-transcript-7729	68.01112500689345	85.049643093755	64.35659909187828	72.47245573084224	68.01112500689345
crovir-transcript-7732	10.944190017033554	10.862953243105466	17.882969074835255	13.230037444991424	10.944190017033554
crovir-transcript-7731	23.42090682818798	37.140082873763305	29.871676238511164	30.14422198015415	23.42090682818798
crovir-transcript-7730	25.274602137502164	54.18975603931698	60.94009560411391	46.801484593644354	25.274602137502164
crovir-transcript-7727	5.35406104084928	8.699736700604445	7.344516531975121	7.1327714244762825	5.35406104084928
crovir-transcript-7726	0.4567360815878229	0.08563198651734723	0.4699011194088664	0.33742306250467885	0.4567360815878229
crovir-transcript-7725	0	36.901341303583365	1.1172094425803825	12.672850248721248	0
crovir-transcript-7749	0.30940918449513055	0.23204055193468043	1.5279727055768229	0.689807480668878	0.30940918449513055
crovir-transcript-7750	108.43589951050647	493.4851197750485	333.56078173368525	311.8272670064134	108.43589951050647
crovir-transcript-7744	84.2795668690075	64.2715711163992	153.5225499607032	100.69122931536997	84.2795668690075
crovir-transcript-7746	23.061281539458378	26.913210545431838	41.92016929263387	30.63155379250803	23.061281539458378
crovir-transcript-7747	438.84198339260206	403.2108953943351	592.5391189282494	478.19733257172885	438.84198339260206
crovir-transcript-7751	821.9696681459666	359.22959572056925	857.5319151655095	679.5770596773484	821.9696681459666
crovir-transcript-7748	31.381438588338774	55.19240092312451	41.43094602627514	42.66826184591281	31.381438588338774
crovir-transcript-7745	1.7796293034696782	2.8599171756283646	3.905974695588343	2.8485070582287952	1.7796293034696782
crovir-transcript-7743	14.444962316863984	18.52086549109774	20.965656092555438	17.977161300172387	14.444962316863984
crovir-transcript-7707	0	0	0	0	0
crovir-transcript-7708	0.8458305423970144	0.4228854986345806	0.46411248243064124	0.5776095078207454	0.8458305423970144
crovir-transcript-7709	32.339287231387146	10.39403912042843	27.092458529123743	23.275261626979773	32.339287231387146
crovir-transcript-7722	0	0.629623183401992	0.5182537227951058	0.3826256353990326	0
crovir-transcript-7723	0	0	0.025737401075116937	0.008579133691705645	0
crovir-transcript-7724	0	0	0	0	0
crovir-transcript-7721	0.10722205980093052	0	0	0.03574068660031018	0.10722205980093052
crovir-transcript-7757	0	0.15092637623682448	0.11042676306108362	0.0871177130993027	0
crovir-transcript-7758	0	1.750745964347164	0	0.5835819881157213	0
crovir-transcript-7761	0.6683105520173942	0.5011976280113549	0.9626036672635524	0.7107039490974338	0.6683105520173942
crovir-transcript-7759	1502.8858376147864	2950.496653294736	1695.055083164086	2049.4791913578692	1502.8858376147864
crovir-transcript-7756	11.042271256787398	13.88551505406733	34.76253494777199	19.89677375287557	11.042271256787398
crovir-transcript-7755	3583.545440547269	2926.2230743124487	4769.806951913678	3759.8584889244653	3583.545440547269
crovir-transcript-7760	4.13184477347922	4.475850056344765	2.2671689407231326	3.6249545901823725	4.13184477347922
crovir-transcript-7719	5.691517443894912	12.869684514201804	9.759284503805421	9.440162153967378	5.691517443894912
crovir-transcript-7720	134.65535371746876	81.8063582827173	89.45276580496305	101.97149260171636	134.65535371746876
crovir-transcript-7717	0.9606964185250041	1.8011789756658063	0.7907101552522037	1.1841951831476714	0.9606964185250041
crovir-transcript-7718	0.6693884722625835	0.5020060112823409	0	0.3904648278483081	0.6693884722625835
crovir-transcript-7716	0	0	0	0	0
crovir-transcript-7715	0.9865788893885937	1.1098231152755396	0.40600648225311253	0.8341361623057486	0.9865788893885937
crovir-transcript-7714	0	0	0	0	0
crovir-transcript-7741	0	0	0	0	0
crovir-transcript-7742	13.6320718073913	0	8.726669742637458	7.452913850009586	13.6320718073913
crovir-transcript-7736	0	0.11952524078150974	0.1311777216086605	0.08356765413005675	0
crovir-transcript-7740	4.157768106403297	18.094466824393542	12.599512637789212	11.617249189528684	4.157768106403297
crovir-transcript-7737	183.5669156627777	257.374620399754	184.5471884465071	208.49624150301293	183.5669156627777
crovir-transcript-7738	239.16987212125207	404.25639163330055	337.20085400235666	326.87570591896974	239.16987212125207
crovir-transcript-7739	791.2933131875221	1422.9443660937266	929.3265171418574	1047.8547321410354	791.2933131875221
crovir-transcript-7785	4.064088556241006	2.612444432693367	4.599355782987171	3.7586295906405147	4.064088556241006
crovir-transcript-7786	30.35723672806065	40.85463751137448	35.76735395661872	35.659742732017946	30.35723672806065
crovir-transcript-7781	17.79057908866665	28.091153524838024	29.68579077173243	25.1891744617457	17.79057908866665
crovir-transcript-7780	0	0	0.33753635085864825	0.11251211695288275	0
crovir-transcript-7784	6.283312600663536	8.175786306935226	5.657752166773532	6.705617024790765	6.283312600663536
